# Generated from VCS_PSP_PS2_OPCODE_COMPARE.json; opcode<TAB>table handler target
0x0355	0x00183228
0x0356	0x00366fb0
0x0357	0x002d4eb0
0x0358	0x00184fe0
0x0359	0x0010c9c0
0x035A	0x00405a30
0x035B	0x002d4f08
0x035C	0x0041b528
0x035D	0x0041b598
0x035E	0x003d6a48
0x035F	0x0041b670
0x0360	0x00183280
0x0361	0x0041b788
0x0362	0x00185068
0x0363	0x002d5070
0x0364	0x002d50d8
0x0365	0x0041b868
0x0366	0x003d6b60
0x0367	0x0041bb30
0x0368	0x0041bb88
0x0369	0x003d6c90
0x036A	0x001850b8
0x036B	0x002d5140
0x036C	0x0041bc38
0x036D	0x00183338
0x036E	0x001850f8
0x036F	0x003917c0
0x0370	0x003d6cf0
0x0371	0x00391830
0x0372	0x00100628
0x0373	0x001006c8
0x0374	0x00334020
0x0375	0x00334028
0x0376	0x00334030
0x0377	0x003a7e38
0x0378	0x00405ab0
0x0379	0x00405b08
0x037A	0x003b2810
0x037B	0x003b2810
0x037C	0x003d6d78
0x037D	0x003d6e60
0x037E	0x003d6f30
0x037F	0x003d7000
0x0390	0x003b2978
0x0391	0x003b2980
0x0392	0x003b29b0
0x0393	0x0041bd10
0x0394	0x002d5248
0x0395	0x00405b28
0x0396	0x00405c60
0x0397	0x003d70d0
0x0398	0x003d71b0
0x0399	0x0041bda0
0x039A	0x003d7290
0x039B	0x002d8488
0x039C	0x002d5288
0x039D	0x00334038
0x039E	0x00334040
0x039F	0x00334048
0x03A0	0x00334050
0x03A1	0x00405cf8
0x03A2	0x0041be30
0x03A3	0x003d7388
0x03A4	0x003d74d0
0x03A5	0x0041c2c0
0x03A6	0x0041c350
0x03A7	0x002d5368
0x03A8	0x002d5588
0x03A9	0x00310888
0x03AA	0x00310930
0x03AB	0x001e32a8
0x03AC	0x00185138
0x03AD	0x00185178
0x03AE	0x0041c430
0x03AF	0x003d7570
0x03B0	0x001851a8
0x03B1	0x00310a98
0x03B2	0x00310ba8
0x03B3	0x003d7718
0x03B4	0x003d77c0
0x03B5	0x00310c00
0x03B6	0x00287f70
0x03B7	0x00287fe8
0x03B8	0x003d7840
0x03B9	0x003d7a98
0x03BA	0x00334080
0x03BB	0x003d7b30
0x03BC	0x0041c568
0x03BD	0x002d5630
0x03BE	0x00310d40
0x03BF	0x003d7bc0
0x03C0	0x002d5688
0x03C1	0x003918a0
0x03C2	0x003dcc00
