# Generated from VCS_PSP_PS2_OPCODE_COMPARE.json; opcode<TAB>table handler target
0x022B	0x00288f8c
0x022C	0x0029ad80
0x022D	0x002f0148
0x022E	0x002e323c
0x022F	0x0028e934
0x0230	0x002e32b0
0x0231	0x000164d4
0x0232	0x00326ad4
0x0233	0x002e3364
0x0234	0x0029ae38
0x0235	0x00319608
0x0236	0x002e345c
0x0237	0x00326b50
0x0238	0x002b8360
0x0239	0x00253e3c
0x023A	0x00253e68
0x023B	0x00253e94
0x023C	0x00288ff4
0x023D	0x002e34c8
0x023E	0x00326c38
0x023F	0x0007fb04
0x0240	0x00016618
0x0241	0x0029af2c
0x0242	0x001d449c
0x0243	0x001d4570
0x0244	0x0012eca4
0x0245	0x0029af84
0x0246	0x002e353c
0x0247	0x001d4644
0x0248	0x00319700
0x0249	0x00319830
0x024A	0x001db130
0x024B	0x00326c7c
0x024C	0x002f019c
0x024D	0x002f026c
0x024E	0x002e8860
0x024F	0x001db1b4
0x0250	0x0018bef8
0x0251	0x002e360c
0x0252	0x0020ede0
0x0253	0x0029afd4
0x0254	0x002e36e4
0x0255	0x002e3758
0x0256	0x002e379c
0x0257	0x00289048
0x0258	0x002890d4
0x0259	0x002891b0
0x025A	0x0028920c
0x025B	0x0028e9a0
0x025C	0x001d4688
0x025D	0x002ece50
0x025E	0x002ecef8
0x025F	0x002892dc
0x0260	0x001db1fc
0x0261	0x001db298
0x0262	0x001d4770
0x0263	0x00275b0c
0x0264	0x00326d1c
0x0265	0x00326d58
0x0266	0x002ecfa0
0x0267	0x002ed01c
0x0268	0x002ed0e8
0x0269	0x0031987c
0x026A	0x00326d94
0x026B	0x0018bf1c
0x026C	0x002ed14c
0x026D	0x002e3888
0x026E	0x001db37c
0x026F	0x001db4d4
0x0270	0x002ed188
0x0271	0x00326e6c
0x0272	0x00326edc
0x0273	0x002e38fc
0x0274	0x002e3964
0x0275	0x002e39d4
0x0276	0x00326f50
0x0277	0x001db560
0x0278	0x00326fd8
0x0279	0x0020eec8
0x027A	0x00082128
0x027B	0x00082148
0x027C	0x00082168
0x027D	0x000821a4
0x027E	0x000bd7a8
0x027F	0x002e3a60
0x0280	0x0029c7c0
0x0281	0x001db5c8
0x0282	0x0029b05c
0x0283	0x0029b0ec
0x0284	0x00289338
0x0285	0x0032703c
0x0286	0x001db60c
0x0287	0x001db67c
0x0288	0x002b83f8
0x0289	0x002b8400
0x028A	0x0020efa4
0x028B	0x001db6ec
0x028C	0x003270e8
0x028D	0x0018bf6c
0x028E	0x002e3b3c
0x028F	0x001d47b4
0x0290	0x002e3bb4
0x0291	0x0029b17c
0x0292	0x00000508
0x0293	0x0028eae0
0x0294	0x002e3c34
0x0295	0x00327150
0x0296	0x000821c4
0x0297	0x00000580
0x0298	0x00327220
0x0299	0x002e3ca8
0x029A	0x003272a8
0x029B	0x00327364
0x029C	0x0007fb5c
0x029D	0x0007fb98
0x029E	0x0007fbb8
0x029F	0x00016738
0x02A0	0x0028937c
0x02A1	0x002893d4
0x02A2	0x00289418
0x02A3	0x002e3da8
0x02A4	0x0029b1ec
0x02A5	0x003273d8
0x02A6	0x0032744c
0x02A7	0x00327564
0x02A8	0x0032764c
0x02A9	0x0029b29c
0x02AA	0x00289450
0x02AB	0x001db794
0x02AC	0x0020f018
0x02AD	0x00253e9c
0x02AE	0x00327748
0x02AF	0x00327860
0x02B0	0x002b8528
0x02B1	0x002ed1dc
0x02B2	0x002ed378
0x02B3	0x002e3e18
0x02B4	0x0018bfb0
0x02B5	0x00253ee8
0x02B6	0x00327978
0x02B7	0x00327a28
0x02B8	0x00327ab4
0x02B9	0x002e3e60
0x02BA	0x00327b5c
0x02BB	0x002e3ed4
0x02BC	0x00327bb0
0x02BD	0x002e3f28
0x02BE	0x00327e64
0x02BF	0x001db7c4
0x02C0	0x00327f68
0x02C1	0x0020dbac
0x02C2	0x0020dbac
0x02C3	0x0020dbac
0x02C4	0x0020dbac
0x02C5	0x0020dbac
0x02C6	0x0020dbac
0x02C7	0x002e3fb4
0x02C8	0x00327ff0
0x02C9	0x003280f4
0x02CA	0x002e4020
0x02CB	0x0032825c
0x02CC	0x003282b8
0x02CD	0x001db8a8
0x02CE	0x0029b330
0x02CF	0x0009e2e8
0x02D0	0x0032830c
0x02D1	0x001db950
0x02D2	0x002e4064
0x02D3	0x001de194
0x02D4	0x00328380
0x02D5	0x00328410
0x02D6	0x002e40b8
0x02D7	0x002acd48
0x02D8	0x002e412c
0x02D9	0x002e4250
0x02DA	0x002e4434
0x02DB	0x002b7b94
0x02DC	0x00328508
0x02DD	0x001de328
0x02DE	0x001db9a0
0x02DF	0x001dbab0
0x02E0	0x001dbbc0
0x02E1	0x003285a8
0x02E2	0x002b7448
0x02E3	0x002b7850
0x02E4	0x002b7850
0x02E5	0x002b79f0
0x02E6	0x002b79f0
0x02E7	0x0032868c
0x02E8	0x0028ebac
0x02E9	0x002e449c
0x02EA	0x001d9cbc
0x02EB	0x002e455c
